"name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","humidity","precip","windgust","windspeed","cloudcover","description","icon"
"nghe an","2024-04-01","34.6","26.1","29.2","36.2","26.1","30.7","58","0","24.5","20.2","0","Clear conditions throughout the day","clear-day"
"nghe an","2024-04-02","35.1","26.2","29.2","38.3","26.2","30.7","58.3","0","30.6","20.5","14.6","Clear conditions throughout the day","clear-day"
"nghe an","2024-04-03","39.2","25.7","30.2","46.3","25.7","32.5","57","0","31.7","22.3","23.9","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-04","33.2","25.5","28.4","41.2","25.5","31.3","71.4","0","43.6","23.8","22.7","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-05","29.1","24.4","26.1","34.5","24.4","27","88.9","0","29.2","16.2","47.1","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-06","28.8","24","25.7","34.1","24","26.5","89.1","0","33.1","22","50.3","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-07","29.4","23.4","25.7","36.4","23.4","26.7","90.4","0","29.9","20.5","54","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-08","26.9","22.9","24.7","30.5","22.9","25","94","2","26.3","20.2","96.9","Cloudy skies throughout the day with late afternoon rain","rain"
"nghe an","2024-04-09","23.8","22","22.7","23.8","22","22.7","93.9","1","24.8","23.4","100","Cloudy skies throughout the day with rain","rain"
"nghe an","2024-04-10","27.3","21.9","23.7","30.4","21.9","23.8","90.1","4","16.6","12.2","92.4","Cloudy skies throughout the day with morning rain","rain"
"nghe an","2024-04-11","29.2","23.5","25.3","34.8","23.5","25.8","88.6","0.2","32","20.5","76.8","Partly cloudy throughout the day with early morning rain","rain"
"nghe an","2024-04-12","30.2","23.4","25.9","36.8","23.4","27.4","88","0","37.8","24.8","38.3","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-13","31.1","23.8","26.5","38.5","23.8","28.2","86","0","45.4","27.4","29.1","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-14","30.1","24.4","26.8","38.5","24.4","29.1","86.8","0","41","24.5","57.5","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-15","28.9","24.8","26.5","35","24.8","28.2","87.5","0","33.8","21.2","51.9","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-16","30.4","24.7","26.5","38.5","24.7","28.3","86.8","0.1","33.8","22","41.5","Partly cloudy throughout the day with late afternoon rain","rain"
"nghe an","2024-04-17","30.4","24.5","26.9","39.2","24.5","29.4","85.6","0","42.1","29.5","52.6","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-18","31","25","27.2","38","25","29.9","85.8","0","46.1","27.4","32.4","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-19","36","25","29.4","42.7","25","32.6","72.2","5","33.8","23.8","36.4","Partly cloudy throughout the day with rain in the morning and afternoon","rain"
"nghe an","2024-04-20","38.3","25.5","30.6","46.7","25.5","33.8","62.1","0","37.8","20.9","28.4","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-21","39.8","26.2","30.1","47.8","26.2","34.2","67.4","0","34.9","20.2","29.9","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-22","31.2","25.5","27.6","39.9","25.5","31.2","86.2","0","32.4","26.6","38.6","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-23","32.1","25.1","27.5","41.8","25.1","31.2","88.6","0.1","27","23","55.6","Partly cloudy throughout the day with late afternoon rain","rain"
"nghe an","2024-04-24","30.9","25.6","27.4","39.4","25.6","31","89.3","0.3","28.4","20.5","58.9","Partly cloudy throughout the day with rain in the morning and afternoon","rain"
"nghe an","2024-04-25","32.2","25.8","28","44.1","25.8","32.4","87.7","0","39.2","23.8","43.5","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-26","39.1","25.4","30.3","48.6","25.4","35.2","72.7","0","25.9","18.7","35.4","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-27","41.1","29.2","33.9","48.7","30.9","37.3","47.7","0","34.6","23.8","24.2","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-28","40.2","28.6","32.5","49.7","29.5","36.9","55.3","0","36.7","24.8","27.2","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-04-29","42.1","28.1","33.1","50.1","29.9","38.1","57.1","0","33.8","24.8","10.3","Clear conditions throughout the day","clear-day"
"nghe an","2024-04-30","42.6","29.2","35","47.8","32.3","38.4","45.8","0","43.2","32.4","18.9","Clear conditions throughout the day","clear-day"
"nghe an","2024-05-01","30.7","26.1","28.5","40.7","26.1","32.3","78.2","3.7","35.6","29.9","58.3","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-02","30.4","26.1","27.6","38.8","26.1","31.3","88.4","0.3","27","23.4","79.6","Partly cloudy throughout the day with morning rain","rain"
"nghe an","2024-05-03","29.1","26","27.4","35.5","26","30.4","87.7","2","34.2","22","57.2","Partly cloudy throughout the day with afternoon rain","rain"
"nghe an","2024-05-04","34.1","25.3","28.7","40.5","25.3","32.5","78.6","2","20.5","17.3","29.9","Partly cloudy throughout the day with early morning rain","rain"
"nghe an","2024-05-05","30.1","26.2","28","39.2","26.2","32.9","85","0.4","23","19.8","48.3","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-06","29","25.5","27.1","34.8","25.5","30.2","89","0.8","18.7","17.3","69.5","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-07","31","25.1","27.4","38.6","25.1","30.1","85.9","0.4","24.8","22.3","46.7","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-08","32","25.2","27.6","39","25.2","29.9","81.9","0","24.8","19.4","56.8","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-05-09","31.6","24.7","27.6","37.9","24.7","30.2","80.7","2.1","22.7","17.6","75.6","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-10","29.5","25","27.5","36.9","25","30.9","84.3","2","29.5","21.6","52","Partly cloudy throughout the day with afternoon rain","rain"
"nghe an","2024-05-11","30.9","25.4","27.8","39.8","25.4","31.5","83.9","5","36.4","23.4","64.1","Partly cloudy throughout the day with late afternoon rain","rain"
"nghe an","2024-05-12","32.5","25.1","28.1","40.5","25.1","31.8","81.4","1.3","21.2","18.7","68.5","Partly cloudy throughout the day with late afternoon rain","rain"
"nghe an","2024-05-13","30.6","25.8","27.4","37.8","25.8","29.9","84","7.9","19.4","18.7","48.2","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-14","30.6","25.6","27.7","36.3","25.6","30.6","78.9","0.8","16.6","15.5","42.3","Partly cloudy throughout the day with early morning rain","rain"
"nghe an","2024-05-15","31.6","25.7","28.1","39.6","25.7","31.7","80.5","3","22.7","20.2","44.5","Partly cloudy throughout the day with late afternoon rain","rain"
"nghe an","2024-05-16","31.1","26.6","27.9","38.4","26.6","31.5","80.2","1","23.8","24.8","34.8","Partly cloudy throughout the day with afternoon rain","rain"
"nghe an","2024-05-17","31","24.9","27.5","38.4","24.9","30.3","80","2","17.6","16.2","53.6","Partly cloudy throughout the day with early morning rain","rain"
"nghe an","2024-05-18","33.8","25.5","28.6","44.8","25.5","33.7","82.6","1.6","30.6","18.7","84.2","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-19","38.3","26.3","31.1","61","26.3","38.1","73.4","0","41","33.5","86.5","Partly cloudy throughout the day","partly-cloudy-day"
"nghe an","2024-05-20","28.6","25.4","27.2","34.2","25.4","30.1","86.7","24.9","34.9","28.4","98.1","Cloudy skies throughout the day with a chance of rain throughout the day","rain"
"nghe an","2024-05-21","29","24.7","27.1","33.1","24.7","29.3","81.9","4.9","14.8","11.9","95.3","Cloudy skies throughout the day with a chance of rain throughout the day","rain"
"nghe an","2024-05-22","29.1","26.6","27.4","32.9","26.6","29.5","78.2","1.5","16.2","15.8","90.4","Cloudy skies throughout the day with rain","rain"
"nghe an","2024-05-23","29.2","25.9","27.6","33.7","25.9","30.1","79.6","1.3","13.7","13.7","85.8","Partly cloudy throughout the day with rain","rain"
"nghe an","2024-05-24","27.1","26","26.7","30","26","27.8","81.9","0.2","8.6","7.6","97.8","Cloudy skies throughout the day with rain","rain"
"nghe an","2024-05-25","29.4","25.1","27.3","33.6","25.1","29.6","82.3","1.8","23","19.8","93.8","Cloudy skies throughout the day with storms possible","rain"
"nghe an","2024-05-26","33.5","26.8","29.7","39.9","29.7","34.8","74.8","0","22","16.6","94.5","Cloudy skies throughout the day with storms possible","cloudy"
"nghe an","2024-05-27","35.4","28.6","31.4","41.9","32.6","36.8","65","0","40.3","22.3","94.9","Cloudy skies throughout the day","cloudy"
"nghe an","2024-05-28","33.9","26.7","30.3","40.3","26.7","35.4","69.8","1.3","42.8","20.9","95.5","Cloudy skies throughout the day","cloudy"
"nghe an","2024-05-29","32.4","26.3","28.5","38.5","26.3","32.1","78.1","2.4","26.3","13.7","90.6","Cloudy skies throughout the day","cloudy"
"nghe an","2024-05-30","34.8","27.8","30.6","41.1","30.7","35.1","65.8","0","36.7","26.6","43.4","Partly cloudy throughout the day with storms possible","rain"
"nghe an","2024-05-31","35.6","27.7","30.8","42.6","30.4","35.6","65.7","0.7","28.8","18.4","71.1","Partly cloudy throughout the day with storms possible","partly-cloudy-day"
"nghe an","2024-06-01","34","28","30.3","39.8","31.6","35","68.8","1.6","44.6","30.6","75.5","Partly cloudy throughout the day with storms possible","partly-cloudy-day"
"nghe an","2024-06-02","32.5","28.6","29.9","38.3","32.4","34.2","68.3","0","53.5","31","100","Cloudy skies throughout the day","cloudy"
"nghe an","2024-06-03","30.4","26.7","28.7","35.4","26.7","32.5","73.6","0.7","54.7","26.3","100","Cloudy skies throughout the day","cloudy"
"nghe an","2024-06-04","29.2","25.2","27.2","33.3","25.2","29.3","81","2.8","24.5","16.2","97.8","Cloudy skies throughout the day with afternoon rain","rain"
"nghe an","2024-06-05","30.8","25.9","27.8","36.2","25.9","30.6","78.4","1.3","18.5","10.4","98.2","Cloudy skies throughout the day with a chance of rain","rain"
"nghe an","2024-06-06","28.8","25.3","27","33.9","25.3","29.6","87.3","20.9","15.8","16.6","99.7","Cloudy skies throughout the day with a chance of rain throughout the day","rain"
"nghe an","2024-06-07","26.5","25.7","26.1","26.5","25.7","26.1","92.6","56.7","13.7","11.9","99.8","Cloudy skies throughout the day with a chance of rain throughout the day","rain"
